bins,N_F127,N_F139
1.0146002635972133e-17,0.0,0.0
1.0442271261858559e-17,0.0,0.0
1.0747191087812083e-17,0.0,0.0
1.1061014733435482e-17,0.0,0.0
1.1384002194957118e-17,0.0,0.0
1.1716421060632374e-17,0.0,0.0
1.205854673243472e-17,0.0,0.0
1.2410662654220494e-17,0.0,0.0
1.2773060546555964e-17,0.0,0.0
1.3146040648401728e-17,0.0,0.0
1.3529911965854419e-17,0.0,0.0
1.3924992528151547e-17,0.0,0.0
1.433160965115208e-17,0.0,0.0
1.4750100208510512e-17,0.0,0.0
1.518081091076964e-17,0.0,0.0
1.5624098592603015e-17,0.0,0.0
1.608033050844472e-17,0.0,0.0
1.6549884636751994e-17,0.0,0.0
1.703314999315216e-17,0.0,0.0
1.7530526952733946e-17,0.0,0.0
1.8042427581749878e-17,0.0,0.0
1.8569275979004237e-17,0.0,0.0
1.911150862721004e-17,0.0,0.0
1.9669574754605483e-17,0.0,0.0
2.0243936707130144e-17,0.0,0.0
2.0835070331468946e-17,0.0,0.0
2.1443465369280792e-17,0.0,0.0
2.2069625862939314e-17,0.0,0.0
2.2714070573120982e-17,0.0,0.0
2.3377333408587523e-17,0.0,0.0
2.4059963868518158e-17,0.0,0.0
2.476252749775774e-17,0.0,0.0
2.5485606355358856e-17,0.0,0.0
2.622979949680507e-17,0.0,0.0
2.6995723470315875e-17,0.0,0.0
2.7784012827644056e-17,0.0,0.0
2.8595320649787966e-17,0.0,0.0
2.9430319088055564e-17,2.0,0.0
3.028969992092711e-17,6.0,16.0
3.1174175127179154e-17,20.0,107.0
3.208447747574417e-17,130.0,232.0
3.30213611327936e-17,552.0,384.0
3.398560228654886e-17,1464.0,497.0
3.497799979033633e-17,4134.0,798.0
3.599937582442069e-17,12055.0,1417.0
3.705057657716406e-17,25452.0,2495.0
3.8132472946074725e-17,42234.0,4298.0
3.9245961259327476e-17,60910.0,6936.0
4.0391964018352033e-17,81019.0,10848.0
4.157143066210622e-17,99778.0,15708.0
4.278533835366627e-17,113879.0,21234.0
4.4034692789785234e-17,122768.0,27973.0
4.532052903409177e-17,123010.0,35776.0
4.664391237461775e-17,118962.0,44541.0
4.800593920636722e-17,112053.0,52286.0
4.940773793965673e-17,103024.0,59410.0
5.085046993497877e-17,93519.0,65636.0
5.23353304651647e-17,83768.0,70704.0
5.386354970564226e-17,74568.0,74537.0
5.5436393753610206e-17,66273.0,77352.0
5.705516567697344e-17,59299.0,78023.0
5.872120659390641e-17,53125.0,77811.0
6.043589678394156e-17,47583.0,76161.0
6.220065683150085e-17,42471.0,73812.0
6.401694880282029e-17,38129.0,71666.0
6.588627745724125e-17,34369.0,67565.0
6.781019149387095e-17,30695.0,64164.0
6.979028483464728e-17,28082.0,59985.0
7.182819794486845e-17,25493.0,56001.0
7.392561919228423e-17,23169.0,52395.0
7.608428624587335e-17,21095.0,48671.0
7.83059875154645e-17,19221.0,45463.0
8.059256363339657e-17,17554.0,42307.0
8.294590897944246e-17,16253.0,39429.0
8.536797325026309e-17,15071.0,36187.0
8.786076307469047e-17,14110.0,33797.0
9.042634367617603e-17,13232.0,31211.0
9.306684058378515e-17,12311.0,29294.0
9.578444139315172e-17,11583.0,27133.0
9.858139757885539e-17,10792.0,25481.0
1.0146002635972133e-16,9987.0,23371.0
1.0442271261858581e-16,9477.0,21729.0
1.0747191087812081e-16,9053.0,20162.0
1.106101473343546e-16,8541.0,19077.0
1.1384002194957118e-16,7991.0,17958.0
1.1716421060632374e-16,7515.0,17078.0
1.2058546732434745e-16,7186.0,15778.0
1.2410662654220495e-16,6912.0,14983.0
1.2773060546555937e-16,6594.0,14170.0
1.3146040648401728e-16,6160.0,13122.0
1.3529911965854418e-16,5884.0,12743.0
1.3924992528151577e-16,5652.0,11996.0
1.433160965115208e-16,5296.0,11230.0
1.4750100208510482e-16,5047.0,10684.0
1.518081091076964e-16,4825.0,10136.0
1.5624098592603013e-16,4665.0,9742.0
1.6080330508444753e-16,4472.0,8959.0
1.6549884636751993e-16,4221.0,8819.0
1.7033149993152125e-16,4030.0,8324.0
1.7530526952733944e-16,3793.0,7970.0
