bins,N_F127,N_F139
1.0146002635972133e-17,0.0,0.0
1.0442271261858559e-17,0.0,0.0
1.0747191087812083e-17,0.0,0.0
1.1061014733435482e-17,0.0,0.0
1.1384002194957118e-17,0.0,0.0
1.1716421060632374e-17,0.0,0.0
1.205854673243472e-17,0.0,0.0
1.2410662654220494e-17,0.0,0.0
1.2773060546555964e-17,0.0,0.0
1.3146040648401728e-17,0.0,0.0
1.3529911965854419e-17,0.0,0.0
1.3924992528151547e-17,0.0,0.0
1.433160965115208e-17,0.0,0.0
1.4750100208510512e-17,0.0,1.0
1.518081091076964e-17,0.0,0.0
1.5624098592603015e-17,0.0,0.0
1.608033050844472e-17,0.0,0.0
1.6549884636751994e-17,0.0,7.0
1.703314999315216e-17,0.0,0.0
1.7530526952733946e-17,0.0,7.0
1.8042427581749878e-17,0.0,0.0
1.8569275979004237e-17,0.0,0.0
1.911150862721004e-17,0.0,0.0
1.9669574754605483e-17,0.0,0.0
2.0243936707130144e-17,0.0,2.0
2.0835070331468946e-17,0.0,1.0
2.1443465369280792e-17,0.0,7.0
2.2069625862939314e-17,0.0,9.0
2.2714070573120982e-17,0.0,5.0
2.3377333408587523e-17,0.0,4.0
2.4059963868518158e-17,0.0,5.0
2.476252749775774e-17,1.0,14.0
2.5485606355358856e-17,0.0,13.0
2.622979949680507e-17,0.0,67.0
2.6995723470315875e-17,2.0,200.0
2.7784012827644056e-17,8.0,538.0
2.8595320649787966e-17,12.0,1396.0
2.9430319088055564e-17,26.0,3135.0
3.028969992092711e-17,123.0,6077.0
3.1174175127179154e-17,653.0,11016.0
3.208447747574417e-17,3464.0,18488.0
3.30213611327936e-17,13135.0,28681.0
3.398560228654886e-17,34941.0,41151.0
3.497799979033633e-17,73665.0,55726.0
3.599937582442069e-17,127363.0,71914.0
3.705057657716406e-17,174402.0,85309.0
3.8132472946074725e-17,197666.0,96663.0
3.9245961259327476e-17,196748.0,103750.0
4.0391964018352033e-17,186662.0,106812.0
4.157143066210622e-17,179074.0,106633.0
4.278533835366627e-17,173177.0,104978.0
4.4034692789785234e-17,170017.0,101669.0
4.532052903409177e-17,167369.0,97328.0
4.664391237461775e-17,163408.0,94964.0
4.800593920636722e-17,157966.0,92439.0
4.940773793965673e-17,148864.0,92415.0
5.085046993497877e-17,138437.0,91167.0
5.23353304651647e-17,128753.0,91203.0
5.386354970564226e-17,118333.0,91689.0
5.5436393753610206e-17,108752.0,91913.0
5.705516567697344e-17,97850.0,92087.0
5.872120659390641e-17,89737.0,92020.0
6.043589678394156e-17,81615.0,91597.0
6.220065683150085e-17,74699.0,90377.0
6.401694880282029e-17,67011.0,89011.0
6.588627745724125e-17,61547.0,87355.0
6.781019149387095e-17,55693.0,84651.0
6.979028483464728e-17,50556.0,81457.0
7.182819794486845e-17,46799.0,77726.0
7.392561919228423e-17,42291.0,75317.0
7.608428624587335e-17,39026.0,71941.0
7.83059875154645e-17,35875.0,68969.0
8.059256363339657e-17,33164.0,65232.0
8.294590897944246e-17,30710.0,62107.0
8.536797325026309e-17,28258.0,58614.0
8.786076307469047e-17,26161.0,56033.0
9.042634367617603e-17,24668.0,52544.0
9.306684058378515e-17,22796.0,50034.0
9.578444139315172e-17,21056.0,47496.0
9.858139757885539e-17,19857.0,44622.0
1.0146002635972133e-16,18689.0,41737.0
1.0442271261858581e-16,17252.0,39460.0
1.0747191087812081e-16,16020.0,37385.0
1.106101473343546e-16,15345.0,35365.0
1.1384002194957118e-16,14242.0,33477.0
1.1716421060632374e-16,13275.0,31749.0
1.2058546732434745e-16,12721.0,29777.0
1.2410662654220495e-16,12036.0,28261.0
1.2773060546555937e-16,11307.0,26721.0
1.3146040648401728e-16,10639.0,25504.0
1.3529911965854418e-16,10048.0,23889.0
1.3924992528151577e-16,9509.0,22726.0
1.433160965115208e-16,9148.0,21509.0
1.4750100208510482e-16,8613.0,20527.0
1.518081091076964e-16,8318.0,19470.0
1.5624098592603013e-16,7840.0,18518.0
1.6080330508444753e-16,7566.0,17861.0
1.6549884636751993e-16,7031.0,16385.0
1.7033149993152125e-16,6937.0,15879.0
1.7530526952733944e-16,6617.0,14936.0
