bins,N_F127,N_F139
1.0146002635972133e-17,1.0,0.0
1.0442271261858559e-17,0.0,0.0
1.0747191087812083e-17,0.0,0.0
1.1061014733435482e-17,0.0,0.0
1.1384002194957118e-17,0.0,0.0
1.1716421060632374e-17,0.0,0.0
1.205854673243472e-17,0.0,0.0
1.2410662654220494e-17,0.0,0.0
1.2773060546555964e-17,0.0,0.0
1.3146040648401728e-17,0.0,0.0
1.3529911965854419e-17,1.0,0.0
1.3924992528151547e-17,0.0,0.0
1.433160965115208e-17,0.0,0.0
1.4750100208510512e-17,0.0,0.0
1.518081091076964e-17,1.0,0.0
1.5624098592603015e-17,1.0,0.0
1.608033050844472e-17,0.0,0.0
1.6549884636751994e-17,0.0,0.0
1.703314999315216e-17,0.0,0.0
1.7530526952733946e-17,0.0,0.0
1.8042427581749878e-17,0.0,0.0
1.8569275979004237e-17,0.0,0.0
1.911150862721004e-17,0.0,0.0
1.9669574754605483e-17,0.0,0.0
2.0243936707130144e-17,0.0,0.0
2.0835070331468946e-17,0.0,1.0
2.1443465369280792e-17,0.0,1.0
2.2069625862939314e-17,1.0,1.0
2.2714070573120982e-17,0.0,0.0
2.3377333408587523e-17,0.0,0.0
2.4059963868518158e-17,0.0,0.0
2.476252749775774e-17,0.0,6.0
2.5485606355358856e-17,0.0,5.0
2.622979949680507e-17,0.0,6.0
2.6995723470315875e-17,0.0,3.0
2.7784012827644056e-17,1.0,10.0
2.8595320649787966e-17,10.0,5.0
2.9430319088055564e-17,6.0,7.0
3.028969992092711e-17,10.0,16.0
3.1174175127179154e-17,10.0,22.0
3.208447747574417e-17,24.0,47.0
3.30213611327936e-17,28.0,154.0
3.398560228654886e-17,37.0,511.0
3.497799979033633e-17,63.0,1351.0
3.599937582442069e-17,291.0,2381.0
3.705057657716406e-17,2785.0,3637.0
3.8132472946074725e-17,9500.0,4709.0
3.9245961259327476e-17,19105.0,6182.0
4.0391964018352033e-17,29006.0,8279.0
4.157143066210622e-17,36514.0,10507.0
4.278533835366627e-17,42185.0,13612.0
4.4034692789785234e-17,48491.0,16321.0
4.532052903409177e-17,55765.0,18584.0
4.664391237461775e-17,60991.0,20073.0
4.800593920636722e-17,65391.0,21809.0
4.940773793965673e-17,67449.0,23378.0
5.085046993497877e-17,69460.0,24077.0
5.23353304651647e-17,69266.0,25437.0
5.386354970564226e-17,68874.0,27255.0
5.5436393753610206e-17,67791.0,28779.0
5.705516567697344e-17,66447.0,30043.0
5.872120659390641e-17,64223.0,31059.0
6.043589678394156e-17,61894.0,32169.0
6.220065683150085e-17,60080.0,33120.0
6.401694880282029e-17,58255.0,34177.0
6.588627745724125e-17,55673.0,35250.0
6.781019149387095e-17,53188.0,36178.0
6.979028483464728e-17,51348.0,36964.0
7.182819794486845e-17,48203.0,38364.0
7.392561919228423e-17,46068.0,38680.0
7.608428624587335e-17,44479.0,39108.0
7.83059875154645e-17,41902.0,39504.0
8.059256363339657e-17,39801.0,39612.0
8.294590897944246e-17,37903.0,39600.0
8.536797325026309e-17,35803.0,39452.0
8.786076307469047e-17,33646.0,39504.0
9.042634367617603e-17,32362.0,38990.0
9.306684058378515e-17,30003.0,38308.0
9.578444139315172e-17,28765.0,37942.0
9.858139757885539e-17,26579.0,37781.0
1.0146002635972133e-16,24949.0,37108.0
1.0442271261858581e-16,23611.0,36401.0
1.0747191087812081e-16,22299.0,35933.0
1.106101473343546e-16,20924.0,35538.0
1.1384002194957118e-16,19612.0,34682.0
1.1716421060632374e-16,18211.0,33816.0
1.2058546732434745e-16,17212.0,33006.0
1.2410662654220495e-16,16159.0,32407.0
1.2773060546555937e-16,15240.0,31669.0
1.3146040648401728e-16,14697.0,30876.0
1.3529911965854418e-16,13633.0,30148.0
1.3924992528151577e-16,12900.0,29324.0
1.433160965115208e-16,12522.0,28348.0
1.4750100208510482e-16,11838.0,27333.0
1.518081091076964e-16,11141.0,26535.0
1.5624098592603013e-16,10431.0,25667.0
1.6080330508444753e-16,9943.0,24807.0
1.6549884636751993e-16,9455.0,23702.0
1.7033149993152125e-16,9058.0,22731.0
1.7530526952733944e-16,8381.0,21902.0
1.804242758174988e-16,7960.0,20997.0
1.8569275979004276e-16,7520.0,19926.0
1.911150862721004e-16,7217.0,19157.0
1.9669574754605444e-16,6833.0,18379.0
2.0243936707130144e-16,6452.0,17408.0
2.083507033146895e-16,6292.0,16726.0
2.144346536928084e-16,5929.0,16109.0
2.2069625862939313e-16,5519.0,15405.0
2.2714070573120937e-16,5183.0,14616.0
2.337733340858752e-16,4960.0,14177.0
2.405996386851816e-16,4739.0,13516.0
2.476252749775779e-16,4405.0,12741.0
2.548560635535885e-16,4359.0,12407.0
2.6229799496805016e-16,3993.0,12124.0
2.699572347031588e-16,3971.0,11564.0
2.7784012827644056e-16,3805.0,10894.0
2.8595320649788027e-16,3433.0,10440.0
2.9430319088055567e-16,3349.0,10095.0
3.028969992092705e-16,3247.0,9899.0
3.117417512717916e-16,3107.0,9273.0
3.2084477475744167e-16,2948.0,8860.0
3.3021361132793663e-16,2789.0,8564.0
3.398560228654885e-16,2765.0,8181.0
3.4977999790336256e-16,2601.0,7872.0
3.5999375824420686e-16,2521.0,7431.0
3.705057657716406e-16,2364.0,7182.0
3.81324729460748e-16,2254.0,6827.0
3.924596125932747e-16,2223.0,6624.0
4.0391964018351955e-16,2058.0,6253.0
4.1571430662106224e-16,1960.0,6016.0
4.2785338353666265e-16,1872.0,5865.0
4.4034692789785333e-16,1854.0,5629.0
4.532052903409177e-16,1759.0,5343.0
4.664391237461765e-16,1680.0,4998.0
4.800593920636722e-16,1600.0,4927.0
