bins,N_F127,N_F139
1.0146002635972133e-17,0.0,0.0
1.0442271261858559e-17,0.0,0.0
1.0747191087812083e-17,0.0,0.0
1.1061014733435482e-17,0.0,0.0
1.1384002194957118e-17,0.0,0.0
1.1716421060632374e-17,0.0,0.0
1.205854673243472e-17,0.0,0.0
1.2410662654220494e-17,0.0,0.0
1.2773060546555964e-17,0.0,0.0
1.3146040648401728e-17,0.0,0.0
1.3529911965854419e-17,0.0,0.0
1.3924992528151547e-17,0.0,0.0
1.433160965115208e-17,0.0,0.0
1.4750100208510512e-17,0.0,0.0
1.518081091076964e-17,0.0,0.0
1.5624098592603015e-17,0.0,0.0
1.608033050844472e-17,0.0,0.0
1.6549884636751994e-17,0.0,0.0
1.703314999315216e-17,0.0,0.0
1.7530526952733946e-17,0.0,0.0
1.8042427581749878e-17,0.0,0.0
1.8569275979004237e-17,0.0,0.0
1.911150862721004e-17,0.0,0.0
1.9669574754605483e-17,0.0,0.0
2.0243936707130144e-17,0.0,0.0
2.0835070331468946e-17,0.0,0.0
2.1443465369280792e-17,0.0,0.0
2.2069625862939314e-17,0.0,0.0
2.2714070573120982e-17,0.0,0.0
2.3377333408587523e-17,0.0,0.0
2.4059963868518158e-17,0.0,0.0
2.476252749775774e-17,0.0,0.0
2.5485606355358856e-17,0.0,1.0
2.622979949680507e-17,0.0,0.0
2.6995723470315875e-17,0.0,0.0
2.7784012827644056e-17,0.0,0.0
2.8595320649787966e-17,0.0,0.0
2.9430319088055564e-17,0.0,0.0
3.028969992092711e-17,1.0,0.0
3.1174175127179154e-17,0.0,0.0
3.208447747574417e-17,0.0,0.0
3.30213611327936e-17,0.0,0.0
3.398560228654886e-17,0.0,0.0
3.497799979033633e-17,0.0,0.0
3.599937582442069e-17,0.0,0.0
3.705057657716406e-17,0.0,0.0
3.8132472946074725e-17,0.0,0.0
3.9245961259327476e-17,1.0,2.0
4.0391964018352033e-17,0.0,7.0
4.157143066210622e-17,0.0,4.0
4.278533835366627e-17,0.0,14.0
4.4034692789785234e-17,0.0,28.0
4.532052903409177e-17,5.0,48.0
4.664391237461775e-17,11.0,126.0
4.800593920636722e-17,13.0,371.0
4.940773793965673e-17,48.0,1086.0
5.085046993497877e-17,149.0,2875.0
5.23353304651647e-17,592.0,5743.0
5.386354970564226e-17,3472.0,9733.0
5.5436393753610206e-17,14520.0,14877.0
5.705516567697344e-17,37422.0,20617.0
5.872120659390641e-17,66411.0,27548.0
6.043589678394156e-17,94244.0,34488.0
6.220065683150085e-17,117075.0,42720.0
6.401694880282029e-17,133663.0,51640.0
6.588627745724125e-17,142169.0,59085.0
6.781019149387095e-17,143004.0,65293.0
6.979028483464728e-17,137991.0,70880.0
7.182819794486845e-17,127694.0,74955.0
7.392561919228423e-17,114657.0,77644.0
7.608428624587335e-17,103311.0,80193.0
7.83059875154645e-17,91481.0,81389.0
8.059256363339657e-17,80365.0,81443.0
8.294590897944246e-17,69568.0,80530.0
8.536797325026309e-17,60425.0,78344.0
8.786076307469047e-17,52067.0,74956.0
9.042634367617603e-17,44965.0,71152.0
9.306684058378515e-17,39433.0,67738.0
9.578444139315172e-17,34382.0,63906.0
9.858139757885539e-17,29917.0,59424.0
1.0146002635972133e-16,26455.0,55320.0
1.0442271261858581e-16,23204.0,51303.0
1.0747191087812081e-16,20497.0,47467.0
1.106101473343546e-16,18454.0,43355.0
1.1384002194957118e-16,16872.0,39826.0
1.1716421060632374e-16,15293.0,36660.0
1.2058546732434745e-16,13520.0,33466.0
1.2410662654220495e-16,12528.0,30847.0
1.2773060546555937e-16,11287.0,27883.0
1.3146040648401728e-16,10480.0,25471.0
1.3529911965854418e-16,9744.0,23573.0
1.3924992528151577e-16,9175.0,21455.0
1.433160965115208e-16,8557.0,19854.0
1.4750100208510482e-16,7838.0,18307.0
1.518081091076964e-16,7206.0,16956.0
1.5624098592603013e-16,6874.0,15601.0
1.6080330508444753e-16,6464.0,14650.0
1.6549884636751993e-16,5981.0,13545.0
1.7033149993152125e-16,5659.0,12615.0
1.7530526952733944e-16,5193.0,11699.0
1.804242758174988e-16,5177.0,11075.0
