bins,N_F127,N_F139
1.804242758174988e-16,11215.0,23654.0
1.8569275979004276e-16,10597.0,22331.0
1.911150862721004e-16,10357.0,21239.0
1.9669574754605444e-16,9768.0,20161.0
2.0243936707130144e-16,9246.0,19234.0
2.083507033146895e-16,8952.0,18464.0
2.144346536928084e-16,8654.0,17298.0
2.2069625862939313e-16,8149.0,16638.0
2.2714070573120937e-16,7781.0,15495.0
2.337733340858752e-16,7558.0,14924.0
2.405996386851816e-16,7185.0,13994.0
2.476252749775779e-16,6761.0,13527.0
2.548560635535885e-16,6585.0,12888.0
2.6229799496805016e-16,6316.0,12210.0
2.699572347031588e-16,6033.0,11828.0
2.7784012827644056e-16,5873.0,11271.0
2.8595320649788027e-16,5680.0,10789.0
2.9430319088055567e-16,5377.0,10353.0
3.028969992092705e-16,5218.0,9894.0
3.117417512717916e-16,4996.0,9550.0
3.2084477475744167e-16,4933.0,9084.0
3.3021361132793663e-16,4656.0,8718.0
3.398560228654885e-16,4637.0,8509.0
3.4977999790336256e-16,4451.0,7834.0
3.5999375824420686e-16,4229.0,7629.0
3.705057657716406e-16,3932.0,7354.0
3.81324729460748e-16,3769.0,6994.0
3.924596125932747e-16,3727.0,6778.0
4.0391964018351955e-16,3682.0,6713.0
4.1571430662106224e-16,3555.0,6312.0
4.2785338353666265e-16,3424.0,6087.0
4.4034692789785333e-16,3247.0,5939.0
4.532052903409177e-16,3262.0,5734.0
4.664391237461765e-16,3073.0,5416.0
4.800593920636722e-16,2916.0,5306.0
4.940773793965673e-16,2874.0,4883.0
5.085046993497887e-16,2803.0,4922.0
5.23353304651647e-16,2675.0,4664.0
5.386354970564215e-16,2593.0,4521.0
5.543639375361021e-16,2498.0,4327.0
5.705516567697344e-16,2392.0,4171.0
5.872120659390653e-16,2348.0,4038.0
6.043589678394156e-16,2306.0,4089.0
6.220065683150073e-16,2198.0,3753.0
6.401694880282028e-16,2078.0,3596.0
6.588627745724125e-16,2074.0,3456.0
6.781019149387108e-16,2017.0,3293.0
6.979028483464727e-16,1852.0,3242.0
7.182819794486831e-16,1954.0,3198.0
7.392561919228423e-16,1743.0,3001.0
7.608428624587335e-16,1746.0,2953.0
7.830598751546467e-16,1685.0,2840.0
8.059256363339657e-16,1697.0,2709.0
8.294590897944229e-16,1543.0,2673.0
8.536797325026309e-16,1572.0,2572.0
8.786076307469047e-16,1472.0,2432.0
9.042634367617623e-16,1447.0,2398.0
9.306684058378514e-16,1362.0,2379.0
9.578444139315153e-16,1350.0,2309.0
9.858139757885539e-16,1314.0,2207.0
1.0146002635972131e-15,1272.0,2189.0
1.044227126185858e-15,1188.0,2012.0
1.0747191087812083e-15,1195.0,2018.0
1.106101473343546e-15,1160.0,1907.0
1.1384002194957117e-15,1104.0,1815.0
1.1716421060632372e-15,1095.0,1740.0
1.2058546732434746e-15,1057.0,1768.0
1.2410662654220494e-15,984.0,1670.0
1.277306054655594e-15,963.0,1584.0
1.3146040648401728e-15,986.0,1627.0
1.352991196585442e-15,890.0,1555.0
1.3924992528151576e-15,898.0,1507.0
1.433160965115208e-15,882.0,1482.0
1.4750100208510483e-15,811.0,1386.0
1.518081091076964e-15,853.0,1281.0
1.5624098592603014e-15,785.0,1297.0
1.6080330508444753e-15,760.0,1285.0
1.6549884636751992e-15,765.0,1250.0
1.7033149993152127e-15,765.0,1191.0
1.7530526952733946e-15,664.0,1131.0
1.804242758174988e-15,692.0,1043.0
1.8569275979004274e-15,630.0,1053.0
1.911150862721004e-15,649.0,969.0
1.9669574754605445e-15,591.0,1022.0
2.0243936707130146e-15,585.0,945.0
2.0835070331468947e-15,617.0,955.0
2.1443465369280838e-15,556.0,960.0
2.206962586293931e-15,514.0,896.0
2.271407057312094e-15,576.0,864.0
2.3377333408587524e-15,517.0,831.0
2.4059963868518158e-15,500.0,783.0
2.476252749775779e-15,466.0,725.0
