bins,N_F127,N_F139
1.5624098592603013e-16,5191.0,9605.0
1.6080330508444753e-16,5036.0,9151.0
1.6549884636751993e-16,4906.0,8659.0
1.7033149993152125e-16,4677.0,8415.0
1.7530526952733944e-16,4451.0,8000.0
1.804242758174988e-16,4233.0,7701.0
1.8569275979004276e-16,4117.0,7298.0
1.911150862721004e-16,3930.0,7026.0
1.9669574754605444e-16,3797.0,6756.0
2.0243936707130144e-16,3696.0,6470.0
2.083507033146895e-16,3651.0,6121.0
2.144346536928084e-16,3400.0,5804.0
2.2069625862939313e-16,3326.0,5792.0
2.2714070573120937e-16,3093.0,5452.0
2.337733340858752e-16,3087.0,5247.0
2.405996386851816e-16,2990.0,5004.0
2.476252749775779e-16,2849.0,4845.0
2.548560635535885e-16,2829.0,4799.0
2.6229799496805016e-16,2715.0,4502.0
2.699572347031588e-16,2645.0,4326.0
2.7784012827644056e-16,2362.0,4259.0
2.8595320649788027e-16,2346.0,4114.0
2.9430319088055567e-16,2362.0,3935.0
3.028969992092705e-16,2287.0,3769.0
3.117417512717916e-16,2177.0,3664.0
3.2084477475744167e-16,2090.0,3590.0
3.3021361132793663e-16,2038.0,3382.0
3.398560228654885e-16,2011.0,3336.0
3.4977999790336256e-16,2008.0,3158.0
3.5999375824420686e-16,1912.0,2980.0
3.705057657716406e-16,1809.0,2968.0
3.81324729460748e-16,1781.0,2969.0
3.924596125932747e-16,1713.0,2821.0
4.0391964018351955e-16,1669.0,2690.0
4.1571430662106224e-16,1641.0,2570.0
4.2785338353666265e-16,1480.0,2587.0
4.4034692789785333e-16,1440.0,2492.0
4.532052903409177e-16,1404.0,2403.0
4.664391237461765e-16,1455.0,2397.0
4.800593920636722e-16,1375.0,2300.0
4.940773793965673e-16,1360.0,2202.0
5.085046993497887e-16,1274.0,2197.0
5.23353304651647e-16,1235.0,2083.0
5.386354970564215e-16,1163.0,2065.0
5.543639375361021e-16,1167.0,1977.0
5.705516567697344e-16,1129.0,1896.0
5.872120659390653e-16,1045.0,1871.0
6.043589678394156e-16,1067.0,1817.0
6.220065683150073e-16,1108.0,1751.0
6.401694880282028e-16,999.0,1762.0
6.588627745724125e-16,998.0,1706.0
6.781019149387108e-16,917.0,1669.0
6.979028483464727e-16,954.0,1602.0
7.182819794486831e-16,922.0,1619.0
7.392561919228423e-16,883.0,1474.0
7.608428624587335e-16,857.0,1473.0
7.830598751546467e-16,832.0,1522.0
8.059256363339657e-16,794.0,1394.0
8.294590897944229e-16,750.0,1368.0
8.536797325026309e-16,721.0,1314.0
8.786076307469047e-16,767.0,1213.0
9.042634367617623e-16,642.0,1152.0
9.306684058378514e-16,691.0,1231.0
9.578444139315153e-16,669.0,1119.0
9.858139757885539e-16,647.0,1114.0
1.0146002635972131e-15,641.0,1094.0
1.044227126185858e-15,578.0,1055.0
1.0747191087812083e-15,600.0,1042.0
1.106101473343546e-15,561.0,936.0
1.1384002194957117e-15,539.0,984.0
1.1716421060632372e-15,532.0,897.0
1.2058546732434746e-15,510.0,889.0
1.2410662654220494e-15,504.0,879.0
1.277306054655594e-15,517.0,872.0
1.3146040648401728e-15,473.0,861.0
1.352991196585442e-15,462.0,782.0
1.3924992528151576e-15,443.0,705.0
1.433160965115208e-15,494.0,731.0
1.4750100208510483e-15,447.0,703.0
1.518081091076964e-15,394.0,670.0
1.5624098592603014e-15,413.0,649.0
1.6080330508444753e-15,429.0,670.0
1.6549884636751992e-15,395.0,608.0
1.7033149993152127e-15,365.0,606.0
1.7530526952733946e-15,397.0,591.0
1.804242758174988e-15,334.0,527.0
1.8569275979004274e-15,353.0,595.0
1.911150862721004e-15,370.0,514.0
1.9669574754605445e-15,296.0,553.0
2.0243936707130146e-15,275.0,517.0
2.0835070331468947e-15,344.0,482.0
2.1443465369280838e-15,306.0,454.0
2.206962586293931e-15,315.0,462.0
2.271407057312094e-15,271.0,431.0
2.3377333408587524e-15,258.0,467.0
2.4059963868518158e-15,266.0,438.0
2.476252749775779e-15,281.0,395.0
2.5485606355358855e-15,278.0,390.0
2.622979949680501e-15,270.0,426.0
2.6995723470315876e-15,257.0,366.0
2.7784012827644054e-15,257.0,379.0
2.8595320649788023e-15,262.0,367.0
2.9430319088055566e-15,248.0,388.0
3.0289699920927044e-15,231.0,332.0
3.117417512717916e-15,222.0,330.0
3.2084477475744167e-15,247.0,335.0
3.3021361132793665e-15,202.0,282.0
3.3985602286548854e-15,189.0,295.0
3.497799979033626e-15,225.0,312.0
3.599937582442068e-15,222.0,307.0
3.705057657716406e-15,177.0,279.0
3.81324729460748e-15,202.0,300.0
3.924596125932747e-15,190.0,299.0
4.0391964018351955e-15,199.0,284.0
4.157143066210622e-15,181.0,245.0
4.278533835366627e-15,178.0,241.0
4.403469278978533e-15,171.0,233.0
4.532052903409176e-15,154.0,238.0
4.664391237461765e-15,146.0,253.0
4.800593920636722e-15,162.0,220.0
4.940773793965673e-15,159.0,230.0
5.085046993497887e-15,143.0,201.0
5.23353304651647e-15,131.0,221.0
5.386354970564215e-15,141.0,178.0
5.543639375361021e-15,124.0,213.0
5.7055165676973445e-15,139.0,185.0
5.8721206593906534e-15,121.0,210.0
6.043589678394156e-15,121.0,185.0
6.220065683150072e-15,127.0,196.0
6.401694880282028e-15,119.0,193.0
6.588627745724124e-15,105.0,180.0
6.781019149387109e-15,110.0,177.0
6.979028483464728e-15,111.0,152.0
7.182819794486832e-15,96.0,147.0
7.392561919228425e-15,92.0,167.0
7.608428624587334e-15,103.0,136.0
7.830598751546466e-15,96.0,116.0
8.059256363339657e-15,106.0,149.0
8.294590897944229e-15,100.0,135.0
8.536797325026309e-15,85.0,124.0
8.786076307469048e-15,102.0,123.0
9.042634367617622e-15,112.0,122.0
9.306684058378515e-15,87.0,111.0
9.578444139315152e-15,91.0,120.0
9.85813975788554e-15,65.0,111.0
1.0146002635972133e-14,74.0,118.0
1.044227126185858e-14,73.0,98.0
1.0747191087812082e-14,61.0,108.0
1.106101473343546e-14,75.0,106.0
1.1384002194957117e-14,65.0,113.0
1.1716421060632373e-14,70.0,89.0
1.2058546732434746e-14,67.0,99.0
1.2410662654220494e-14,70.0,87.0
1.2773060546555939e-14,60.0,80.0
1.3146040648401728e-14,49.0,87.0
1.3529911965854418e-14,63.0,74.0
1.3924992528151577e-14,60.0,81.0
1.433160965115208e-14,58.0,76.0
1.4750100208510485e-14,57.0,73.0
1.518081091076964e-14,58.0,62.0
1.5624098592603016e-14,51.0,67.0
1.6080330508444753e-14,51.0,63.0
1.6549884636751993e-14,47.0,65.0
1.7033149993152124e-14,40.0,54.0
1.7530526952733943e-14,41.0,59.0
1.804242758174988e-14,35.0,45.0
1.8569275979004276e-14,44.0,59.0
1.911150862721004e-14,38.0,48.0
1.966957475460544e-14,42.0,60.0
2.0243936707130146e-14,27.0,53.0
2.0835070331468946e-14,40.0,61.0
2.1443465369280837e-14,40.0,50.0
2.206962586293931e-14,30.0,55.0
2.2714070573120935e-14,27.0,35.0
2.3377333408587525e-14,27.0,53.0
2.405996386851816e-14,26.0,44.0
2.4762527497757795e-14,29.0,47.0
2.5485606355358856e-14,34.0,41.0
2.6229799496805013e-14,37.0,46.0
2.6995723470315876e-14,32.0,37.0
2.7784012827644052e-14,23.0,36.0
2.8595320649788024e-14,21.0,34.0
2.9430319088055563e-14,26.0,40.0
3.0289699920927044e-14,22.0,34.0
3.117417512717915e-14,21.0,38.0
3.208447747574416e-14,28.0,35.0
3.302136113279366e-14,38.0,42.0
3.398560228654885e-14,18.0,34.0
3.497799979033626e-14,27.0,30.0
3.599937582442069e-14,22.0,29.0
3.705057657716406e-14,29.0,25.0
3.8132472946074807e-14,29.0,22.0
3.924596125932747e-14,20.0,24.0
4.039196401835195e-14,29.0,27.0
4.157143066210622e-14,27.0,22.0
4.278533835366627e-14,15.0,21.0
4.403469278978533e-14,26.0,23.0
4.532052903409177e-14,17.0,23.0
4.6643912374617656e-14,12.0,19.0
4.800593920636722e-14,17.0,22.0
4.9407737939656727e-14,17.0,27.0
5.0850469934978875e-14,11.0,25.0
5.23353304651647e-14,15.0,21.0
5.386354970564215e-14,13.0,19.0
5.543639375361021e-14,14.0,17.0
5.705516567697344e-14,17.0,12.0
5.872120659390654e-14,11.0,12.0
6.043589678394156e-14,24.0,15.0
6.220065683150073e-14,12.0,15.0
6.401694880282028e-14,9.0,14.0
6.588627745724124e-14,12.0,21.0
