bins,N_F127,N_F139
1.0146002635972133e-17,0.0,0.0
1.0442271261858559e-17,0.0,0.0
1.0747191087812083e-17,0.0,0.0
1.1061014733435482e-17,0.0,0.0
1.1384002194957118e-17,0.0,3.0
1.1716421060632374e-17,0.0,0.0
1.205854673243472e-17,0.0,0.0
1.2410662654220494e-17,0.0,0.0
1.2773060546555964e-17,0.0,0.0
1.3146040648401728e-17,0.0,0.0
1.3529911965854419e-17,0.0,0.0
1.3924992528151547e-17,0.0,0.0
1.433160965115208e-17,0.0,0.0
1.4750100208510512e-17,0.0,0.0
1.518081091076964e-17,0.0,0.0
1.5624098592603015e-17,0.0,1.0
1.608033050844472e-17,0.0,1.0
1.6549884636751994e-17,0.0,3.0
1.703314999315216e-17,0.0,4.0
1.7530526952733946e-17,0.0,3.0
1.8042427581749878e-17,0.0,3.0
1.8569275979004237e-17,0.0,2.0
1.911150862721004e-17,0.0,4.0
1.9669574754605483e-17,0.0,7.0
2.0243936707130144e-17,0.0,4.0
2.0835070331468946e-17,0.0,11.0
2.1443465369280792e-17,0.0,6.0
2.2069625862939314e-17,0.0,24.0
2.2714070573120982e-17,0.0,44.0
2.3377333408587523e-17,0.0,85.0
2.4059963868518158e-17,0.0,227.0
2.476252749775774e-17,0.0,453.0
2.5485606355358856e-17,1.0,970.0
2.622979949680507e-17,6.0,1850.0
2.6995723470315875e-17,11.0,3339.0
2.7784012827644056e-17,58.0,5064.0
2.8595320649787966e-17,242.0,7029.0
2.9430319088055564e-17,796.0,8674.0
3.028969992092711e-17,2241.0,10386.0
3.1174175127179154e-17,5344.0,12146.0
3.208447747574417e-17,11561.0,14157.0
3.30213611327936e-17,21354.0,16663.0
3.398560228654886e-17,34512.0,19438.0
3.497799979033633e-17,47404.0,21771.0
3.599937582442069e-17,57565.0,23625.0
3.705057657716406e-17,62889.0,25837.0
3.8132472946074725e-17,68879.0,27594.0
3.9245961259327476e-17,77809.0,29692.0
4.0391964018352033e-17,88208.0,32094.0
4.157143066210622e-17,98990.0,34579.0
4.278533835366627e-17,111265.0,36932.0
4.4034692789785234e-17,120807.0,40295.0
4.532052903409177e-17,130154.0,43520.0
4.664391237461775e-17,138382.0,47164.0
4.800593920636722e-17,146177.0,51393.0
4.940773793965673e-17,150648.0,55465.0
5.085046993497877e-17,152990.0,59729.0
5.23353304651647e-17,153038.0,64876.0
5.386354970564226e-17,150115.0,69387.0
5.5436393753610206e-17,145840.0,74645.0
5.705516567697344e-17,140894.0,79471.0
5.872120659390641e-17,133737.0,83495.0
6.043589678394156e-17,126403.0,87741.0
6.220065683150085e-17,117924.0,91237.0
6.401694880282029e-17,110439.0,93739.0
6.588627745724125e-17,101628.0,96417.0
6.781019149387095e-17,93274.0,98117.0
6.979028483464728e-17,85471.0,98919.0
7.182819794486845e-17,77711.0,98863.0
7.392561919228423e-17,71476.0,98762.0
7.608428624587335e-17,64515.0,97830.0
7.83059875154645e-17,59615.0,96832.0
8.059256363339657e-17,54309.0,94207.0
8.294590897944246e-17,49916.0,92953.0
8.536797325026309e-17,46028.0,90197.0
8.786076307469047e-17,42185.0,87250.0
9.042634367617603e-17,39011.0,84100.0
9.306684058378515e-17,36164.0,80647.0
9.578444139315172e-17,33227.0,77889.0
9.858139757885539e-17,30464.0,74337.0
1.0146002635972133e-16,28831.0,70652.0
1.0442271261858581e-16,26265.0,66958.0
1.0747191087812081e-16,24551.0,63331.0
1.106101473343546e-16,22841.0,60005.0
1.1384002194957118e-16,21047.0,56693.0
1.1716421060632374e-16,19983.0,53057.0
1.2058546732434745e-16,18457.0,50495.0
1.2410662654220495e-16,17508.0,47500.0
1.2773060546555937e-16,16379.0,44393.0
1.3146040648401728e-16,15361.0,41957.0
1.3529911965854418e-16,14440.0,39808.0
1.3924992528151577e-16,13820.0,37331.0
1.433160965115208e-16,12980.0,35213.0
1.4750100208510482e-16,12102.0,33610.0
1.518081091076964e-16,11721.0,31408.0
1.5624098592603013e-16,11121.0,29741.0
1.6080330508444753e-16,10390.0,27886.0
1.6549884636751993e-16,10051.0,26565.0
1.7033149993152125e-16,9589.0,24911.0
