bins,N_F127,N_F139
1.0146002635972133e-17,0.0,0.0
1.0442271261858559e-17,0.0,0.0
1.0747191087812083e-17,0.0,0.0
1.1061014733435482e-17,0.0,0.0
1.1384002194957118e-17,0.0,0.0
1.1716421060632374e-17,0.0,0.0
1.205854673243472e-17,0.0,0.0
1.2410662654220494e-17,0.0,0.0
1.2773060546555964e-17,0.0,0.0
1.3146040648401728e-17,0.0,0.0
1.3529911965854419e-17,0.0,0.0
1.3924992528151547e-17,0.0,0.0
1.433160965115208e-17,0.0,0.0
1.4750100208510512e-17,0.0,0.0
1.518081091076964e-17,0.0,0.0
1.5624098592603015e-17,0.0,0.0
1.608033050844472e-17,0.0,0.0
1.6549884636751994e-17,0.0,0.0
1.703314999315216e-17,0.0,0.0
1.7530526952733946e-17,0.0,0.0
1.8042427581749878e-17,0.0,0.0
1.8569275979004237e-17,0.0,0.0
1.911150862721004e-17,1.0,0.0
1.9669574754605483e-17,2.0,0.0
2.0243936707130144e-17,0.0,0.0
2.0835070331468946e-17,1.0,0.0
2.1443465369280792e-17,0.0,2.0
2.2069625862939314e-17,0.0,0.0
2.2714070573120982e-17,1.0,6.0
2.3377333408587523e-17,3.0,0.0
2.4059963868518158e-17,0.0,0.0
2.476252749775774e-17,1.0,7.0
2.5485606355358856e-17,4.0,13.0
2.622979949680507e-17,5.0,21.0
2.6995723470315875e-17,7.0,108.0
2.7784012827644056e-17,8.0,548.0
2.8595320649787966e-17,17.0,1959.0
2.9430319088055564e-17,39.0,5017.0
3.028969992092711e-17,313.0,10647.0
3.1174175127179154e-17,3515.0,19369.0
3.208447747574417e-17,20430.0,29900.0
3.30213611327936e-17,60470.0,40265.0
3.398560228654886e-17,101372.0,49352.0
3.497799979033633e-17,127314.0,57732.0
3.599937582442069e-17,139721.0,65182.0
3.705057657716406e-17,149504.0,73490.0
3.8132472946074725e-17,145945.0,80511.0
3.9245961259327476e-17,134637.0,85933.0
4.0391964018352033e-17,122256.0,88330.0
4.157143066210622e-17,111234.0,87910.0
4.278533835366627e-17,102257.0,84603.0
4.4034692789785234e-17,92913.0,80579.0
4.532052903409177e-17,82922.0,76242.0
4.664391237461775e-17,72876.0,72281.0
4.800593920636722e-17,64093.0,69002.0
4.940773793965673e-17,55245.0,65984.0
5.085046993497877e-17,47666.0,63529.0
5.23353304651647e-17,41036.0,59731.0
5.386354970564226e-17,36231.0,55771.0
5.5436393753610206e-17,31560.0,52557.0
5.705516567697344e-17,27727.0,48273.0
5.872120659390641e-17,24420.0,45252.0
6.043589678394156e-17,21608.0,41971.0
6.220065683150085e-17,19408.0,38456.0
6.401694880282029e-17,17155.0,35527.0
6.588627745724125e-17,15729.0,32472.0
6.781019149387095e-17,13893.0,29636.0
6.979028483464728e-17,12746.0,27415.0
7.182819794486845e-17,11482.0,24900.0
7.392561919228423e-17,10750.0,23030.0
7.608428624587335e-17,9551.0,21424.0
7.83059875154645e-17,9158.0,19511.0
8.059256363339657e-17,8315.0,17911.0
8.294590897944246e-17,7697.0,16500.0
8.536797325026309e-17,7123.0,15254.0
8.786076307469047e-17,6654.0,14232.0
9.042634367617603e-17,6174.0,13157.0
9.306684058378515e-17,5792.0,11954.0
9.578444139315172e-17,5454.0,11431.0
9.858139757885539e-17,5155.0,10507.0
1.0146002635972133e-16,4789.0,9861.0
1.0442271261858581e-16,4627.0,9125.0
1.0747191087812081e-16,4200.0,8781.0
1.106101473343546e-16,3988.0,8219.0
1.1384002194957118e-16,3795.0,7713.0
1.1716421060632374e-16,3724.0,7307.0
1.2058546732434745e-16,3406.0,6891.0
1.2410662654220495e-16,3294.0,6361.0
1.2773060546555937e-16,3226.0,6140.0
1.3146040648401728e-16,2967.0,5839.0
1.3529911965854418e-16,2801.0,5500.0
1.3924992528151577e-16,2811.0,5298.0
1.433160965115208e-16,2763.0,5047.0
1.4750100208510482e-16,2591.0,4833.0
1.518081091076964e-16,2479.0,4510.0
1.5624098592603013e-16,2316.0,4217.0
1.6080330508444753e-16,2277.0,4157.0
1.6549884636751993e-16,2176.0,3961.0
1.7033149993152125e-16,2034.0,3768.0
1.7530526952733944e-16,1965.0,3659.0
